path,ext,top_dir,doc_section,bytes,mtime,git_last_commit_date,git_status,sha1,protection
docs/release/matter-vault-surface-qa-receipt.md,md,docs,release,2822,2026-06-25T07:32:51.649Z,2026-06-25,clean,1941ff01b9e2432556e56791c6397bbe817bec61,reviewable
docs/release/onedrive-bulk-mapping-scope-tuw-plan.md,md,docs,release,16231,2026-06-25T07:32:51.649Z,2026-06-25,clean,994d32386fc5166aa8dfa5454a44e913bb22cea8,reviewable
docs/release/onedrive-bulk-wave-plan.md,md,docs,release,3272,2026-06-25T10:46:44.317Z,2026-06-25,clean,be597ffcbf8e50889d146d8dd7214fcef799f212,reviewable
docs/release/onedrive-closeout-evidence-index.md,md,docs,release,9757,2026-06-29T04:35:19.352Z,2026-06-29,clean,6894f4bf6d2777f4ecad9fef599db72a6a0fc8cb,protected_evidence_ref_review_only
docs/release/onedrive-closeout-final-statement.md,md,docs,release,3348,2026-06-29T04:33:19.012Z,2026-06-29,clean,e424012ac310606e0d985562baddf5cd44488f15,reviewable
docs/release/onedrive-closeout-main-production-tuw-plan.md,md,docs,release,15498,2026-06-29T04:30:32.128Z,2026-06-29,clean,2f5366463fd27e9d939b92496f5f8ed0298c499f,reviewable
docs/release/onedrive-closeout-pr-package.md,md,docs,release,5752,2026-06-29T04:33:19.013Z,2026-06-29,clean,5b767eb1ff3d1d706841b9774f44417c3802b120,reviewable
docs/release/onedrive-customer-wide-import-runbook.md,md,docs,release,10663,2026-06-29T09:07:15.785Z,2026-06-29,clean,34252839b33b91182d81aece4f912caab7b2ca0b,reviewable
docs/release/onedrive-document-import-target-resolution.md,md,docs,release,3057,2026-06-25T09:22:25.962Z,2026-06-25,clean,f2cd46b1a51960dc0286d5ffbc250a11ffa3bea4,reviewable
docs/release/onedrive-lazycodex-execution-package.md,md,docs,release,5776,2026-06-25T12:24:07.849Z,2026-06-25,clean,6de642d65148791a60b513b9ec302ef499471cf8,reviewable
docs/release/onedrive-migration-approved-write-plan.md,md,docs,release,27220,2026-06-25T09:22:25.931Z,2026-06-25,clean,1b4ffa09d4b08b75c9930097a17c1e70a15a5561,reviewable
docs/release/onedrive-migration-mapping-package.md,md,docs,release,10331,2026-06-25T07:32:51.650Z,2026-06-25,clean,74aba2fc27d994d0795baaf97ecb99ef845ebd3a,reviewable
docs/release/onedrive-migration-post-launch-plan.md,md,docs,release,4634,2026-06-21T15:23:39.134Z,2026-06-22,clean,d136c8e30b1bcc39e98725489fc4f13a6dc7067e,reviewable
docs/release/onedrive-migration-validation-tuw-plan.md,md,docs,release,34881,2026-06-25T07:32:51.650Z,2026-06-25,clean,45587e7c35a4accb73236a1d92c31e54ed9ba94d,reviewable
docs/release/onedrive-next-wave-readiness-packet.md,md,docs,release,16335,2026-06-25T12:23:49.747Z,2026-06-25,clean,db559880896336fe958d4715c3dc13d5d322b874,reviewable
docs/release/onedrive-pilot-approval-checklist.md,md,docs,release,4848,2026-06-25T04:47:26.037Z,2026-06-24,clean,6da432486bb1fa6c56a01cb5abf341bf4fabcd5a,reviewable
docs/release/onedrive-pilot-closeout-reconciliation.md,md,docs,release,3172,2026-06-25T09:22:25.999Z,2026-06-25,clean,f82542c74838cc8a5aafc495dcc10ec38d9977f5,reviewable
docs/release/onedrive-pilot-execute-attempt.md,md,docs,release,6366,2026-06-25T09:22:25.993Z,2026-06-25,clean,5e3b45e2f5dadc6daec1e9b6928af1f7f33494e0,reviewable
docs/release/onedrive-pilot-import-dry-run.md,md,docs,release,2337,2026-06-25T09:22:25.970Z,2026-06-25,clean,268027578648e053e67b78f3f1748eeb6c3c7de3,reviewable
docs/release/onedrive-pilot-import-runbook.md,md,docs,release,5747,2026-06-25T04:47:26.037Z,2026-06-24,clean,e2ee1c13a9c21eee9946141e0417a51a534d7772,reviewable
docs/release/onedrive-pilot-import-worker-design.md,md,docs,release,6501,2026-06-25T04:47:26.037Z,2026-06-24,clean,35e072f3d55cbe13bed62272b573d8f5a93ccc42,reviewable
docs/release/onedrive-pilot-mapping-template.md,md,docs,release,5929,2026-06-25T04:47:26.037Z,2026-06-24,clean,0f646ed3019a9160661ff19cd7799a40a83891ac,reviewable
docs/release/onedrive-pilot-ops-register.md,md,docs,release,6222,2026-06-25T12:23:59.086Z,2026-06-25,clean,1cb228ffecbb6a6b9e8c27db33356dbbabaeb2c5,reviewable
docs/release/onedrive-pilot-real-run-plan.md,md,docs,release,5842,2026-06-25T12:24:15.273Z,2026-06-25,clean,c47a63d4846c9b6e54418afc503274c9b5d18546,reviewable
docs/release/onedrive-post-import-closeout-next-plan.md,md,docs,release,3775,2026-06-28T08:40:33.081Z,2026-06-28,clean,00bbf2674ccecd079beb65e66739529ec396fdae,reviewable
docs/release/onedrive-production-gate-request-packet.md,md,docs,release,9586,2026-06-29T08:14:22.401Z,2026-06-29,clean,ee632125bef63eed570787d68ce8ef270347e7d8,reviewable
docs/release/onedrive-production-import-tuw-plan.md,md,docs,release,12492,2026-06-29T09:07:15.785Z,2026-06-29,clean,efd00a7e3bbc1eb67803f3fbee549873b669f0ce,reviewable
docs/release/onedrive-source-cutover-execute-closeout.md,md,docs,release,1989,2026-06-28T04:52:40.615Z,2026-06-28,clean,b370f549031aa71bba9d69d179c1e327646ba1b8,reviewable
docs/release/operator-decision-sheet.md,md,docs,release,5641,2026-06-15T01:37:50.504Z,2026-06-15,clean,279e311382a4cdc2694909b625d5fa4538961be4,reviewable
docs/release/outlook-addin-deployment-runbook.md,md,docs,release,14334,2026-06-21T13:20:56.853Z,2026-06-16,clean,ce1a491dfbea8795121df410ae221affb0d22fee,reviewable
docs/release/outlook-addin-graph-scope-matrix.md,md,docs,release,4076,2026-06-21T13:20:56.853Z,2026-06-16,clean,2564242b08f65f8593dca8c2054fa3c002ad0fd9,reviewable
docs/release/outlook-addin-verification-matrix.md,md,docs,release,19331,2026-06-21T13:20:56.853Z,2026-06-21,clean,6784ff66c3ecf7f8cd0abaf99ea1c643a2984b9b,reviewable
docs/release/outlook-operational-gates.md,md,docs,release,7628,2026-06-21T13:20:56.853Z,2026-06-16,clean,1dc87ec52939ce1c62a971480b468e4ccde2f8de,reviewable
docs/release/production-customer-document-import-execute-closeout.md,md,docs,release,49402,2026-06-30T13:35:45.189Z,2026-06-30,M,057240678938ac3565aa64f80ba99bbb61ba9d9b,reviewable
docs/release/production-execution-preflight.md,md,docs,release,15066,2026-06-22T04:33:02.390Z,2026-06-22,clean,7c576b5714053a38b30bed993312c950a5cfc818,reviewable
docs/release/production-post-cutover-next-gates.md,md,docs,release,4027,2026-07-01T01:12:29.853Z,untracked,??,5e4e99f6b1a00020c03ac1c1271305932f642d6a,reviewable
docs/release/production-release-runbook.md,md,docs,release,9421,2026-06-21T13:20:56.853Z,2026-06-18,clean,e1e4d54565508179a8057bba68f8d74a1c34fa9a,reviewable
docs/release/production-source-cutover-execute-closeout.md,md,docs,release,3519,2026-06-30T13:58:28.258Z,untracked,??,ce84a5a62189be698261be3102545b3adfe11b76,reviewable
docs/release/production-source-cutover-next-gate-plan.md,md,docs,release,4032,2026-06-29T16:00:00.021Z,2026-06-30,clean,1b9fc88fa13fb354542d350bb43520a20d03534b,reviewable
docs/release/production-source-cutover-preflight-closeout.md,md,docs,release,7829,2026-06-30T13:58:47.425Z,2026-06-30,M,86ea7b62f8549ab3fa941ab053ea8bbf69826b6c,reviewable
docs/release/production-ui-rollout-checklist.md,md,docs,release,15573,2026-06-21T15:23:39.134Z,2026-06-22,clean,a480623e239229a9990b1d43c426baf92674584c,reviewable
